pert_id	drug_id
BRD-K41141507	cyproterone-acetate
BRD-K91535048	EI1
BRD-K94072573	medronic-acid
BRD-A56621826	oxytetracycline
BRD-K24221957	pralidoxime-chloride
BRD-A78210457	RG7112
BRD-K12745498	S1P1-agonist-III
BRD-K70650177	testosterone-undecanoate
BRD-K23586533	clindamycin
BRD-K67536197	cyclocytidine
BRD-A86619021	andrographolide
BRD-K66830666	BAZ2-ICR
BRD-K57090026	I-CBP112
BRD-K94979336	IBMX
BRD-K43428468	PF-4800567
BRD-M07056525	choline
BRD-K51566491	375_5632_4252_8463_6214
BRD-A02303741	EPZ-004777-ANALOG
BRD-K03614649	375_5632_4252_8463_2223
BRD-K71781559	NSC60043
BRD-A02904414	SR8278
BRD-K58415648	Venu-SBF-MA1307-090-Broad-Sai-GSK-169-FrII
BRD-K83072125	jpu-E-100001-65
BRD-K40438627	375_5632_8470_8463_2223
BRD-K51126930	jpu-E_100001-4
BRD-K36852164	NPC26
BRD-K39514895	CAS# 853726-08-6
BRD-K10433727	N-(1,3-benzodioxol-5-ylmethyl)-8-quinolinesulfonamide
BRD-K77801455	Propionylamino-acetic acid 2-oxo-2-phenyl-ethyl ester
BRD-K56469794	2-[4-(trifluoromethoxy)phenyl]imidazo[1,2-a]pyrimidine
BRD-K63912037	1-(5-nitrothien-2-yl)piperidine
BRD-K89650689	2-(1,1-dioxido-3-oxo-1,2-benzisothiazol-2(3H)-yl)-N-[4-(1-pyrrolidinylsulfonyl)phenyl]acetamide
BRD-K33539506	3-[4-(4-methylphenyl)-1,3-thiazol-2-yl]-1H-indole
BRD-K86086888	1-butyl-3-[(2-hydroxyethyl)amino]-5,6,7,8-tetrahydro-4-isoquinolinecarbonitrile
BRD-K11342801	N-[4-(1-pyrrolidinyl)phenyl]-2-naphthamide
BRD-K92524823	N-(1H-Benzoimidazol-2-yl)-benzene-1,2-diamine
BRD-K30910725	8-[(3-methyl-1-benzofuran-2-yl)carbonyl]-1,4-dioxa-8-azaspiro[4.5]decane
BRD-K59560948	[1-(4-Methoxy-phenyl)-1H-pyrazolo[3,4-d]pyrimidin-4-yl]-(2-morpholin-4-yl-ethyl)-amine
BRD-K04371719	N,N'-Di-m-tolyl-ethane-1,2-diamine
BRD-A42246453	1-Ethylamino-3-(3-ethylamino-2-hydroxy-propoxy)-propan-2-ol
BRD-K80359388	4-Methoxy-N-(8-methyl-[1,3]dioxolo[4,5-g]quinazolin-6-yl)-benzamide
BRD-K36314834	1-[2-(2,3-Dihydro-benzo[1,4]dioxin-6-yl)-2-oxo-ethyl]-4-((E)-styryl)-pyridinium
BRD-K25583354	N-Acetyl-N'-(5-methyl-benzooxazol-2-yl)-guanidine
BRD-K99198579	(1-methylnaphtho[2,1-b]furan-2-yl)(phenyl)methanone
BRD-K84266230	1-{2-[2-(2-biphenylyloxy)ethoxy]ethyl}piperazine oxalate
BRD-K29820234	1-(4-{[4-(2-chloro-6-nitrophenoxy)benzyl]oxy}phenyl)ethanone
BRD-A23193246	2-[fluoro(trifluoromethoxy)methyl]-5-methyl-1H-benzimidazole
BRD-A84764193	1-(1H-imidazol-4-ylsulfonyl)-N-1,2,3,4-tetrahydronaphthalen-1-ylpiperidine-4-carboxamide
BRD-K20831543	4-(3,5-dichloro-4-pyridinyl)-N-(1-naphthyl)-1,4-diazepane-1-carboxamide
BRD-K81266242	1-(3-phenylpropanoyl)-4-(2-pyridinyl)piperazine
BRD-K15378071	2-(4-methylphenoxy)-N-(4-[1,3]oxazolo[4,5-b]pyridin-2-ylphenyl)acetamide
BRD-K38984040	4-methylphenyl 3,5-dimethyl-4-oxo-3,4-dihydrothieno[2,3-d]pyrimidine-6-carboxylate
BRD-K44707028	2,5-dimethoxy-N-3-quinolinylbenzenesulfonamide
BRD-A53463743	[2-(4-Nitro-phenyl)-quinazolin-4-yl]-(tetrahydro-furan-2-ylmethyl)-amine
BRD-K21753319	3-chloro-4-(isopropylsulfonyl)-2-thiophenecarbohydrazide
BRD-A23345137	8-(1-Cyclohexyl-1H-tetrazol-5-ylmethyl)-3-(4-fluoro-phenyl)-8-aza-bicyclo[3.2.1]octan-3-ol
BRD-K56889360	N-[2-(2-ethoxyphenoxy)ethyl]-N-methyl-1-butanamine oxalate
BRD-A57594599	5-(3,5-dimethyl-1-piperidinyl)-2-(2-furyl)-1,3-oxazole-4-carbonitrile
BRD-K56384677	methyl 8-fluoro-4H-thieno[3,2-c]chromene-2-carboxylate
BRD-K65590822	N~2~-(4-bromo-3-methylphenyl)-N~1~-cyclohexyl-N~2~-(methylsulfonyl)glycinamide
BRD-K68937492	N~2~-(4-bromo-3-methylphenyl)-N~2~-(methylsulfonyl)glycinamide
BRD-K07160586	[(4-oxo-2-phenyl-4H-chromen-3-yl)oxy]acetic acid
BRD-K91810283	{1-[3-(4-methylphenoxy)propyl]-1H-benzimidazol-2-yl}methanol
BRD-K38017028	N-benzyl-N-(2-furylmethyl)-4-methyl-1-benzenesulfonamide
BRD-A63503250	N-[3-(4-chlorophenyl)-4-methyl-3H-1,5-benzodiazepin-2-yl]benzamide
BRD-K07011015	3-[(3-methylbenzyl)sulfanyl]-6-(2-thienyl)pyridazine
BRD-K22875057	N-(3-methoxyphenyl)-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxamide
BRD-K80858297	8-[1-(3-methylphenyl)-1H-pyrazolo[3,4-d]pyrimidin-4-yl]-1,4-dioxa-8-azaspiro[4.5]decane
BRD-K57382977	2-{2-[(1-phenyl-1H-pyrazolo[3,4-d]pyrimidin-4-yl)amino]ethoxy}ethanol
BRD-K92176613	Heptanoic acid (4-hydroxy-2-oxo-1,2-dihydro-quinolin-3-yl)-amide
BRD-K14961381	1-Hydroxy-3-oxo-6,7-dihydro-3H,5H-pyrido[3,2,1-ij]quinoline-2-carboxylic acid (2
BRD-K81200901	2,2,3,3-Tetrafluoro-N-(2H-[1,2,4]triazol-3-yl)-propionamide
BRD-A12725272	2-Oxo-1-oxa-spiro[4.4]nonane-4-carboxylic acid 2,4-dimethyl-benzylamide
BRD-K70116387	(1,2,3,5,9b-Pentaaza-cyclopenta[a]naphthalen-4-yl)-m-tolyl-amine
BRD-K36111748	2-tricyclo[3.3.1.1~3,7~]dec-2-ylidenhydrazine-1-carbothioamide
BRD-K72666100	1-Indan-2-yl-4-(naphthalene-2-sulfonyl)-piperazine
BRD-K83028309	5-(4-Bromo-phenyl)-2-phenyl-pyrazolo[1,5-a]pyrimidin-7-ylamine
BRD-A96536816	4-Amino-3-cyclohexylcarbamoyl-isothiazole-5-carboxylic acid 1-cyclohexylcarbamoyl-ethyl ester
BRD-K09366011	1-(2,3-dihydro-1H-indol-1-yl)-2-(phenylsulfanyl)-1-ethanone
BRD-K68705041	ethyl 2-amino-4-(2-furyl)thiophene-3-carboxylate
BRD-K69252983	6-(4-chlorophenyl)-2-hydroxy-4-(methylthio)nicotinonitrile
BRD-K91944762	N-[2-(2-Chloro-benzylsulfanyl)-6-hydroxy-pyrimidin-4-yl]-4-methyl-benzenesulfonamide
BRD-K01182779	1-{2-[Cyano-(4,6-dimethyl-pyrimidin-2-yl)-amino]-acetyl}-piperidine-4-carboxylic acid amide
BRD-K21819164	6-(4-Heptyloxy-phenyl)-nicotinonitrile
BRD-A36938160	1,4-Dihydroxy-octahydro-quinoxaline-2,3-dione
